market_cap_usd,price_usd,last_updated,name,24h_volume_usd,percent_change_7d,symbol,max_supply,rank,percent_change_1h,total_supply,price_btc,available_supply,percent_change_24h,id
109273779456,6310.66729551,1539233431,Bitcoin,4561158485.4,-3.98,BTC,21000000.0,1,-0.29,17315725.0,1.0,17315725.0,-4.23,bitcoin
21052193551.0,205.393485098,1539233441,Ethereum,1750270077.33,-8.27,ETH,,2,-0.31,102496890.0,0.03270713,102496890.0,-9.0,ethereum
17028949763.0,0.4257489229,1539233465,XRP,628923601.466,-20.81,XRP,100000000000,3,0.01,99991817275.0,0.00006777,39997634397.0,-9.5,ripple
7964613838.0,457.844310343,1539233431,Bitcoin Cash,474676497.745,-12.57,BCH,21000000.0,4,-0.28,17395900.0,0.07290774,17395900.0,-10.5,bitcoin-cash
4903001708.0,5.410237929,1539233428,EOS,749704063.28,-4.42,EOS,,5,-0.69,1006245120.0,0.00086153,906245118.0,-7.48,eos
4189245152.0,0.2217632806,1539233418,Stellar,54234135.4454,-9.38,XLM,,6,-0.14,104363617748,0.00003531,18890616792.0,-8.68,stellar
3109847824.0,53.0047626221,1539233463,Litecoin,373800826.331,-9.44,LTC,84000000.0,7,-0.42,58671102.0,0.00843692,58671102.0,-8.21,litecoin
2690534609.0,0.9941298406,1539233421,Tether,3152439250.12,-0.38,USDT,,8,-0.32,3080109502.0,0.00015831,2706421736.0,-0.39,tether
2013614300.0,0.0776645513,1539233434,Cardano,55820369.9159,-5.23,ADA,45000000000.0,9,-0.66,31112483745.0,0.00001237,25927070538.0,-8.0,cardano
1700739412.0,103.208010371,1539233414,Monero,181135686.162,-10.12,XMR,,10,-0.54,16478754.0,0.01643498,16478754.0,-7.91,monero
1509317173.0,0.0229560536,1539233434,TRON,176365220.777,4.68,TRX,,11,-0.67,99000000000.0,0.00000366,65748111645.0,-8.64,tron
1455050265.0,0.5234878258,1539233430,IOTA,33022979.8976,-6.0,MIOTA,2779530283.0,12,-0.92,2779530283.0,0.00008336,2779530283.0,-9.26,iota
1415943565.0,169.075783238,1539233407,Dash,226537210.699,-6.08,DASH,18900000.0,13,-0.7,8374609.0,0.02692385,8374609.0,-5.42,dash
1152272703.0,9.8113105876,1539233434,Binance Coin,32065123.397,-4.59,BNB,,14,-0.4,192443301.0,0.00156237,117443301.0,-4.78,binance-coin
1075358881.0,16.5439827816,1539233428,NEO,191148230.68,-9.07,NEO,100000000.0,15,-0.89,100000000.0,0.00263449,65000000.0,-8.48,neo
1055589036.0,10.0354577466,1539233427,Ethereum Classic,233877693.233,-9.85,ETC,,16,-0.42,105185938.0,0.00159806,105185938.0,-7.32,ethereum-classic
852623332.0,0.0947359258,1539233421,NEM,11567507.9528,-11.07,XEM,,17,-1.54,8999999999.0,0.00001509,8999999999.0,-10.23,nem
786608444.0,1.2948520725,1539233434,Tezos,1949263.22049,-2.27,XTZ,,18,-1.04,763306930.0,0.00020619,607489041.0,-6.8,tezos
681233530.0,0.0122844971,1539233451,VeChain,13561230.8638,-4.57,VET,,19,-0.81,86712634466.0,0.00000196,55454734800.0,-7.47,vechain
630650163.0,0.0054132019,1539233467,Dogecoin,13167495.4632,-5.39,DOGE,,20,-0.25,116502243429,0.00000086,116502243429,-3.72,dogecoin
578403884.0,115.985092741,1539233425,Zcash,190683549.788,-6.01,ZEC,,21,-0.62,4986881.0,0.01846962,4986881.0,-7.02,zcash
457533841.0,628.283979658,1539233433,Maker,2260239.71604,25.47,MKR,,22,0.41,1000000.0,0.10004878,728228.0,-13.31,maker
448230192.0,3.1960420622,1539233432,OmiseGO,46238634.514,-8.14,OMG,,23,-0.33,140245398.0,0.00050894,140245398.0,-8.86,omisego
421684156.0,24.4012198374,1539233435,Bitcoin Gold,3996889.07808,-6.48,BTG,21000000.0,24,-1.46,17381274.0,0.00388568,17281274.0,-7.09,bitcoin-gold
392395258.0,1.8954740638,1539233443,Ontology,35637599.3346,-1.87,ONT,,25,-0.39,1000000000.0,0.00030184,207016949.0,-6.25,ontology
364860704.0,0.6741175392,1539233434,0x,12324341.3573,7.3,ZRX,,26,-1.07,1000000000.0,0.00010735,541241969.0,-9.29,0x
349502530.0,3.147673578,1539233430,Lisk,7675822.03347,-4.89,LSK,,27,-0.37,126272380.0,0.00050124,111035189.0,-4.93,lisk
325450227.0,37.7583928288,1539233430,Decred,1682886.95701,-3.01,DCR,21000000.0,28,-0.98,8619282.0,0.0060127,8619282.0,-6.68,decred
323037623.0,3.6315716415,1539233430,Qtum,173325355.74,-4.34,QTUM,,29,-0.53,100952568.0,0.0005783,88952568.0,-4.47,qtum
290328812.0,0.0015773011,1539233417,Bytecoin,5848598.12551,-30.25,BCN,184470000000,30,-3.12,184066828814,0.00000025,184066828814,-10.55,bytecoin-bcn
274063211.0,0.1028727191,1539233417,BitShares,6325261.56087,-7.78,BTS,3600570502.0,31,-0.33,2664100000.0,0.00001638,2664100000.0,-5.87,bitshares
272454182.0,1.1692285222,1539233432,Aeternity,36602360.4613,9.4,AE,,32,-1.48,273685830.0,0.00018619,233020472.0,4.93,aeternity
269580109.0,1.7532881666,1539233439,Bitcoin Diamond,2898722.27779,-12.81,BCD,210000000.0,33,-0.66,156756875.0,0.0002792,153756875.0,-8.1,bitcoin-diamond
263568958.0,0.0338744381,1539233437,Zilliqa,14223909.2819,-9.69,ZIL,,34,-1.06,12600000000.0,0.00000539,7780762516.0,-8.43,zilliqa
257681277.0,1.9338430456,1539233429,Nano,5844744.95616,-12.02,NANO,133248290.0,35,-0.06,133248289.0,0.00030795,133248289.0,-9.91,nano
257044613.0,0.0235672086,1539233470,DigiByte,4016008.05007,-4.37,DGB,21000000000.0,36,-0.61,10906875589.0,0.00000375,10906875589.0,-6.82,digibyte
250656439.0,0.6469699612,1539233434,ICON,20974356.2835,-4.82,ICX,,37,-0.99,800460000.0,0.00010302,387431340.0,-5.43,icon
240819054.0,0.0064529826,1539233424,Siacoin,7683891.63529,-18.21,SC,,38,-0.44,37319030460.0,0.00000103,37319030460.0,-9.54,siacoin
224854778.0,0.8042658357,1539233430,Steem,4357032.25915,-9.81,STEEM,,39,0.52,296551776.0,0.00012807,279577682.0,-5.54,steem
223446367.0,0.0147274651,1539233420,Verge,8011849.86967,-4.4,XVG,16555000000.0,40,-0.85,15172086051.0,0.00000235,15172086051.0,-5.75,verge
